name	chars	lines
DiagramObject.IdentifiedObject-DLvalueType	514	14
ACLineSegment-baseVoltage	728	13
RegulatingControl-terminalConnectivityNode	249	8
OperationalLimitType.acceptableDuration-usage	247	8
OperationalLimitType.isInfiniteDuration-usage	288	9
EquivalentBranch.r21-usage	169	7
EquivalentBranch.x21-usage	169	7
PowerTransformerEnd.r-valueRange	288	8
EquivalentInjection.regulationCapability-associatedCurve	198	7
PhaseTapChangerAsymmetrical.windingConnectionAngle-valueRange	275	6
PhaseTapChangerNonLinear.xMin-valueRangePair	300	9
ShuntCompensator.nomU-nominalVoltageDifference	278	8
PowerTransformer-associationNotUsed	224	7
PowerTransformerEnd.ratedS-valueRange2winding	1026	26
PowerTransformerEnd.ratedU-valueRange	1382	29
TransformerEnd.endNumber-unique	943	24
PhaseTapChangerLinear.xMin-valueRangePair	300	9
Equipment.aggregate-notUsed	113	6
LoadResponseCharacteristic.exponentModel-exponentCoefficient	1445	21
GeneratingUnit.nominalP-valueRangePair	594	12
ConductingEquipment.BaseVoltage-usage	693	12
ShuntCompensator.maximumSections-numberOfInstances	495	15
Terminal.phases-consistencyEquipment	839	14
Terminal.phases-consistencyConnectivityNode	1904	38
LimitKind.patl-allowedType	237	8
LimitKind.patl-numberOfLimitType	547	13
LimitKind.tc-duration	436	11
TapChanger.ltcFlag-tapChangerControl	213	8
DCConverterUnit-tapChangerControl	597	9
DCConverterUnit-cscPowerTransformer	232	9
PowerTransformerEnd-terminalConsistency	243	8
ControlAreaGeneratingUnit.GeneratingUnit-instance	221	8
ACDCTerminal.sequenceNumber-numbering	537	10
PowerTransformerEnd-secondWindingValues	637	14
BoundaryPoint.isExcludedFromAreaInterchange-requiredTieFlow	1315	18
MutualCoupling-terminalsAssignment	719	13
SeriesCompensator.varistorRatedCurrent-usage	209	7
SeriesCompensator.varistorVoltageThreshold-usage	209	7
CsConverter.gamma-valueRangeTypical	198	7
CsConverter.alpha-valueRangeTypical	199	7
SvTapStep.position-valueRange	304	9
CsConverter.targetGamma-applicability	1201	21
CsConverter.targetAlpha-applicability	1213	22
RegulatingControl-requiredAttributes	468	10
TapChanger.step-valueType	520	10
ShuntCompensator.sections-valueLinear	446	11
ShuntCompensator.sections-valueNonLinear	938	23
ControlArea-netInterchangeCalculation	728	18
RegulatingControl.targetDeadband-applicability	260	7
VsConverter.pPccControl-targetValuephasePcc	234	7
VsConverter.pPccControl-targetValuePpcc	220	7
VsConverter.pPccControl-targetValuepPccAndUdcDroop	393	9
VsConverter.pPccControl-targetValuepPccAndUdcDroopPilot	398	9
VsConverter.pPccControl-targetValuepPccAndUdcDroopWithCompensation	518	10
VsConverter.pPccControl-targetValueUdc	216	7
VsConverter.qPccControl-targetValuepowerFactorPcc	258	7
VsConverter.qPccControl-targetValuepulseWidthModulation	351	8
VsConverter.qPccControl-targetValuereactivePcc	225	7
VsConverter.qPccControl-targetValuevoltagePcc	224	7
EnergySource.activePower-consumer	105	6
CsConverter.pPccControl-targetValuePpcc	227	7
CsConverter.pPccControl-targetValueIdc	220	7
CsConverter.pPccControl-targetValueUdc	222	7
CsConverter.maxAlpha-valueRangeTypical	186	7
CsConverter.minAlpha-valueRangeTypical	268	8
CsConverter.maxGamma-valueRangeTypical	185	7
CsConverter.minGamma-valueRangeTypical	267	8
Terminal.phases-consistencyTopologicalNode	1604	31
ExcIEEEAC8B.kpr-valueRange	156	7
ExcBBC.k-valueRange	104	6
ExcIEEEDC4B.td-valueRange	153	7
ExcIEEEAC7B.kpa-valueRange	156	7
ExcIEEEAC7B.kpr-valueRange	156	7
PssWECC-inputSignals	163	7
ExcSEXS.kc-valueRange	149	7
ExcAC8B.kpr-valueRange	152	7
GovHydro4.bgv0-valueRange	237	7
GovHydro4.bgv1-valueRange	237	7
GovHydro4.bgv2-valueRange	237	7
GovHydro4.bgv3-valueRange	237	7
GovHydro4.bgv4-valueRange	237	7
GovHydro4.bgv5-valueRange	237	7
GovHydro4.bmax-valueRange	237	7
GovHydro4.gv0-valueRange	188	7
GovHydro4.gv1-valueRange	336	8
GovHydro4.gv2-valueRange	336	8
GovHydro4.gv3-valueRange	336	8
GovHydro4.gv4-valueRange	336	8
GovHydro4.gv5-valueRange	349	8
GovHydro4.pgv0-valueRange	188	7
GovHydro4.pgv1-valueRange	188	7
GovHydro4.pgv2-valueRange	188	7
GovHydro4.pgv3-valueRange	188	7
GovHydro4.pgv4-valueRange	188	7
GovHydro4.pgv5-valueRange	188	7
GovSteamFV3.t5-valueRange	104	6
Pss2ST-inputSignals	162	7
SynchronousMachineSimplified-requiredAttributes	243	7
LoadStatic.staticLoadModelType-exponental	1294	22
LoadStatic.staticLoadModelType-zIP1	1275	22
LoadStatic.staticLoadModelType-zIP2	1277	22
LoadStatic.staticLoadModelType-constantZ	1226	22
RotatingMachineDynamics.saturationFactor120-valueRange	199	7
RegulatingControl.targetValue-tapChanger	1236	16
GeneratingUnit.maxOperatingP-ratedS	597	20
Switch-connection	2370	36
PowerTransformerEnd.x-value	1242	24
PhaseTapChanger-controlModeP	373	8
