shape,shapeLocalname,descr,sparql
http://iec.ch/TC57/ns/CIM/DiagramLayout-EU/constraints/IEC61970-301/3.0#DiagramObject.IdentifiedObject-DLvalueType,DiagramObject.IdentifiedObject-DLvalueType,"The association end role description stated that: The domain object to which this diagram object is associated. Therefore, the association cannot point to cim:Diagram, cim:DiagramObject, cim:VisibilityLayer, cim:DiagramStyle, cim:DiagramObjectStyle or cim:TextDiagramObject.","
	      SELECT $this  ?value
        WHERE {
          ?value cim:DiagramObject.IdentifiedObject/rdf:type ?valueType .  
          {
            SELECT $this ?value
            WHERE {
              ?value rdf:type ?classtype .
              FILTER (?classtype IN (cim:TextDiagramObject , cim:DiagramObject)).
              }
          }
          FILTER (?valueType IN (cim:Diagram , cim:DiagramObject, cim:VisibilityLayer , cim:DiagramStyle , cim:DiagramObjectStyle , cim:TextDiagramObject)).
        } 
        "
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/notSolved/3.0#ACLineSegment-baseVoltage,ACLineSegment-baseVoltage,"The BaseVoltage at the two ends of ACLineSegments in a Line shall have the same BaseVoltage.nominalVoltage. However, boundary lines may have slightly different BaseVoltage.nominalVoltages and variation is allowed. Larger voltage difference in general requires use of an equivalent branch.","
			SELECT $this ?voltage1 ?voltage2
			WHERE {
        ?terminal1 cim:Terminal.ConductingEquipment $this .
        ?terminal2 cim:Terminal.ConductingEquipment $this .
        ?terminal1 cim:ACDCTerminal.sequenceNumber 1 .
        ?terminal2 cim:ACDCTerminal.sequenceNumber 2 .
        ?terminal1 cim:Terminal.TopologicalNode ?topologicalnode1 .
        ?terminal2 cim:Terminal.TopologicalNode ?topologicalnode2 .
        ?topologicalnode1 cim:TopologicalNode.BaseVoltage/cim:BaseVoltage.nominalVoltage ?voltage1 .
        ?topologicalnode2 cim:TopologicalNode.BaseVoltage/cim:BaseVoltage.nominalVoltage ?voltage2 .
				FILTER (?terminal1 != ?terminal2 && ?voltage1 != ?voltage2 && ?topologicalnode1 != ?topologicalnode2) .
			}"
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/3.0#RegulatingControl-terminalConnectivityNode,RegulatingControl-terminalConnectivityNode,"The specified terminal shall be associated with the connectivity node of the controlled point.  The most specific subtype of RegulatingControl shall be used in case such equipment participate in the control, e.g. TapChangerControl for tap changers.","
	    SELECT $this ?value 
      WHERE {
        $this $PATH ?value .
        BIND(EXISTS{?value cim:Terminal.ConnectivityNode ?cn} AS ?hascn).
        #OPTIONAL {?value cim:Terminal.ConnectivityNode ?cn }.
        FILTER (?hascn=false) .
        } "
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/3.0#OperationalLimitType.acceptableDuration-usage,OperationalLimitType.acceptableDuration-usage,"The attribute has meaning only if the flag isInfiniteDuration is set to false, hence it shall not be exchanged when isInfiniteDuration is set to true.","
			SELECT  $this ?value
			WHERE {
        $this $PATH ?value .
        BIND(EXISTS{$this $PATH ?v } AS ?hasvalue). 
        $this cim:OperationalLimitType.isInfiniteDuration ?indur .
        FILTER (?hasvalue=true && ?indur=true ) .        
			}"
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/3.0#OperationalLimitType.isInfiniteDuration-usage,OperationalLimitType.isInfiniteDuration-usage,"If false, the limit has definite duration which is defined by the attribute acceptableDuration.","
			SELECT  $this ?value
			WHERE {
        #OPTIONAL {$this $PATH ?value }.
        $this $PATH ?value .
        BIND(EXISTS{$this $PATH ?v} AS ?hasvalue).
        $this cim:OperationalLimitType.isInfiniteDuration ?indur .
        FILTER (?hasvalue=false && ?indur=false ) .        
			}"
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/3.0#EquivalentBranch.r21-usage,EquivalentBranch.r21-usage,"This attribute is optional and represent unbalanced network such as off-nominal phase shifter. If only EquivalentBranch.r is given, then EquivalentBranch.r21 is assumed equal to EquivalentBranch.r.","
			SELECT  $this ?value
			WHERE {
        OPTIONAL {$this $PATH ?value }.
        $this cim:EquivalentBranch.r ?r .
        FILTER (bound(?value) && ?value!=?r) .
			}"
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/3.0#EquivalentBranch.x21-usage,EquivalentBranch.x21-usage,"This attribute is optional and represent unbalanced network such as off-nominal phase shifter. If only EquivalentBranch.x is given, then EquivalentBranch.x21 is assumed equal to EquivalentBranch.x.","
			SELECT  $this ?value
			WHERE {
        OPTIONAL {$this $PATH ?value }.
        $this cim:EquivalentBranch.x ?x .
        FILTER (bound(?value) && ?value!=?x) .
			}"
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/3.0#PowerTransformerEnd.r-valueRange,PowerTransformerEnd.r-valueRange,The attribute shall be equal to or greater than zero for non-equivalent transformers.,"
			SELECT  $this ?value
			WHERE {
        $this $PATH ?value . 
        OPTIONAL {$this cim:Equipment.aggregate ?aggregate }.
        #BIND(EXISTS{$this cim:Equipment.aggregate ?a } AS ?hasaggregate).
        FILTER ((!bound(?aggregate) || ?aggregate=false) && ?value<0 ) .        
			}"
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/3.0#EquivalentInjection.regulationCapability-associatedCurve,EquivalentInjection.regulationCapability-associatedCurve,ReactiveCapabilityCurve can only be associated with EquivalentInjection  if the flag is true.,"
			SELECT  $this ?value
			WHERE {
        $this $PATH ?value
        OPTIONAL {$this cim:EquivalentInjection.ReactiveCapabilityCurve ?curve }.
        FILTER (bound(?curve) && ?value=false) .
			}"
http://iec.ch/TC57/ns/CIM/Equipment-EU/constraints/IEC61970-301/3.0#PhaseTapChangerAsymmetrical.windingConnectionAngle-valueRange,PhaseTapChangerAsymmetrical.windingConnectionAngle-valueRange,The attribute can only be multiples of 30 degrees.  The allowed range is -150 degrees to 150 degrees excluding 0.,"
			SELECT  $this ?value
			WHERE {
        $this $PATH ?value . 
        FILTER (contains(str(?value), ""."") || (?value!=-150 && ?value!=-120 && ?value!=-90 && ?value!=-60 && ?value!=-30 && ?value!=150 && ?value!=120 && ?value!=90 && ?value!=60 && ?value!=30)) .        
			}"
